,id,job_title,company,location,rating_provided,rating,salary_provided,weblink,date_recorded,location_model,jurisdiction,city
58,18bee7b1b3aab743,Data Scientist,Charger Logistics Inc,"Brampton, ON",n,,n,https://ca.indeed.com/viewjob?jk=18bee7b1b3aab743,2023-11-17,Not Specified,ON,Brampton
59,21b5a2628e6bf6fa,Data Scientist,Ontario Health,"Hybrid remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=21b5a2628e6bf6fa,2023-11-17,Hybrid remote,ON,Toronto
60,f9e984c3fbf0489e,Data Scientist,Colliers,"Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=f9e984c3fbf0489e,2023-11-17,Not Specified,ON,Toronto
61,24dfb6a1f8957d42,"Data Scientist, Business Analytics",Thumbtack,"Remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=24dfb6a1f8957d42,2023-11-17,Remote,ON,Toronto
62,b7cffedade0bb737,Data Scientist,Ample Insight Inc.,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=b7cffedade0bb737,2023-11-17,Not Specified,ON,Toronto
63,db0e2d5997e485ec,Data Scientist,Score Media and Gaming Inc.,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=db0e2d5997e485ec,2023-11-17,Not Specified,ON,Toronto
64,f083e2c988e6f1e8,Data Scientist,audiobooks.com,"Hybrid remote in Burlington, ON",n,,n,https://ca.indeed.com/viewjob?jk=f083e2c988e6f1e8,2023-11-17,Hybrid remote,ON,Burlington
65,88588fc674602035,Data Scientist,Atlantis IT group,"Hybrid remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=88588fc674602035,2023-11-17,Hybrid remote,ON,Toronto
66,8ab136381bfd74af,Jr. Data Scientist,SimpTek Technologies,"Fredericton, NB",n,,n,https://ca.indeed.com/viewjob?jk=8ab136381bfd74af,2023-11-17,Not Specified,NB,Fredericton
67,c261f9276c4ee120,data scientist,KONI AMERI TECH SERVICES CANADA INC.,"Etobicoke, ON",n,,y,https://ca.indeed.com/viewjob?jk=c261f9276c4ee120,2023-11-17,Not Specified,ON,Etobicoke
68,7f7d9062518cf222,Data Scientist,Clarifai,Remote,n,,n,https://ca.indeed.com/viewjob?jk=7f7d9062518cf222,2023-11-17,Remote,Not Specified,Remote
69,df2158e00092e5ec,Senior Data Scientist (DB),Group NB,"Baie-d'urfe, QC",n,,y,https://ca.indeed.com/viewjob?jk=df2158e00092e5ec,2023-11-17,Not Specified,QC,Baie-d'urfe
70,eef3c98d8f010476,"Data Scientist, Commerce Platform",Afterpay,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=eef3c98d8f010476,2023-11-17,Not Specified,ON,Toronto
71,ba95879030aca734,AI Engineer & Data Scientist,247 Labs Inc,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=ba95879030aca734,2023-11-17,Not Specified,ON,Toronto
72,05876a8e78c7d9da,Senior Data Scientist,Vanguard,"Hybrid remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=05876a8e78c7d9da,2023-11-17,Hybrid remote,ON,Toronto
73,ca6d87abd72d3c0c,Applied Scientist,Microsoft,"Vancouver, BC",n,,y,https://ca.indeed.com/viewjob?jk=ca6d87abd72d3c0c,2023-11-17,Not Specified,BC,Vancouver
74,7dbe6de54061f8a0,"Data Scientist, Applied AI",Movable Ink,"Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=7dbe6de54061f8a0,2023-11-17,Not Specified,ON,Toronto
75,086459b235d8166d,DATA SCIENCE CONSULTANT TORONTO,managementsolutions,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=086459b235d8166d,2023-11-17,Not Specified,ON,Toronto
76,e0ec12ccd396fc08,Computer Vision and Signal Processing Data Scientist,MarkiTech,"Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=e0ec12ccd396fc08,2023-11-17,Not Specified,ON,Toronto
77,4d58d4400fa980da,Data Scientist,Focal Systems,"Remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=4d58d4400fa980da,2023-11-17,Remote,ON,Toronto
78,0e929b9e2023011f,Senior Data Scientist,Mozilla,Remote,n,,n,https://ca.indeed.com/viewjob?jk=0e929b9e2023011f,2023-11-17,Remote,Not Specified,Remote
79,cbea8f580158dcac,Data Scientist (Go Auto Corporate HQ),Go Auto,"Edmonton, AB",n,,n,https://ca.indeed.com/viewjob?jk=cbea8f580158dcac,2023-11-17,Not Specified,AB,Edmonton
80,249bc434eba61def,"Data Scientist, AWS Talent Acquisition Data Analytics","Amazon Web Services Canada, Inc. - D46","Vancouver, BC",n,,y,https://ca.indeed.com/viewjob?jk=249bc434eba61def,2023-11-17,Not Specified,BC,Vancouver
81,8e86c8ff94abb0d8,Data Scientist,Canadian Nuclear Laboratories,"Chalk River, ON",n,,n,https://ca.indeed.com/viewjob?jk=8e86c8ff94abb0d8,2023-11-17,Not Specified,ON,Chalk River
82,4053c05c6a08729f,Senior Data Scientist,Sun Life,"Hybrid remote in Waterloo, ON",n,,y,https://ca.indeed.com/viewjob?jk=4053c05c6a08729f,2023-11-17,Hybrid remote,ON,Waterloo
83,55cf4a425407d25a,Machine Learning Engineering - 2024 Summer (BS/MS),TikTok,"Vancouver, BC",n,,y,https://ca.indeed.com/viewjob?jk=55cf4a425407d25a,2023-11-17,Not Specified,BC,Vancouver
84,8c2f955d1ba83ea0,data scientist,BioAro Inc.,"Calgary, AB",n,,y,https://ca.indeed.com/viewjob?jk=8c2f955d1ba83ea0,2023-11-17,Not Specified,AB,Calgary
85,04c385f0dae086ef,Staff Data Scientist - Search,Faire,Remote,n,,n,https://ca.indeed.com/viewjob?jk=04c385f0dae086ef,2023-11-17,Remote,Not Specified,Remote
86,e1deec007b023a9f,data scientist,Translab Technologies Private Limited,"Bedford, NS",n,,y,https://ca.indeed.com/viewjob?jk=e1deec007b023a9f,2023-11-17,Not Specified,NS,Bedford
87,0ce9fe15dcef7ad9,data scientist,Promateus Ltd,"Calgary, AB",n,,y,https://ca.indeed.com/viewjob?jk=0ce9fe15dcef7ad9,2023-11-17,Not Specified,AB,Calgary
88,e2474e0ae658d550,Staff Data Scientist (AMER),Zapier Job Board,Remote,n,,n,https://ca.indeed.com/viewjob?jk=e2474e0ae658d550,2023-11-17,Remote,Not Specified,Remote
89,25d32d3b0ee06dea,Staff Data Scientist (AMER),Zapier,Remote,n,,n,https://ca.indeed.com/viewjob?jk=25d32d3b0ee06dea,2023-11-17,Remote,Not Specified,Remote
90,1c5ae82b020c4234,Risk & Trading: Player Analytics,theScore,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=1c5ae82b020c4234,2023-11-17,Not Specified,ON,Toronto
91,a42148071bc8aade,Data Scientist - Google Analytics Specialist,Ecom Experts,Remote,n,,n,https://ca.indeed.com/viewjob?jk=a42148071bc8aade,2023-11-17,Remote,Not Specified,Remote
92,aa64bd987492dca4,"Data Scientist, Fraud Risk",Plooto,Remote in Canada,n,,n,https://ca.indeed.com/viewjob?jk=aa64bd987492dca4,2023-11-17,Remote,Not Specified,Not Specified
93,35a95b09f541a9f5,artificial intelligence (AI) designer,APPFABS INC,"Mississauga, ON",n,,y,https://ca.indeed.com/viewjob?jk=35a95b09f541a9f5,2023-11-17,Not Specified,ON,Mississauga
94,8946a6d05316022a,"Data Scientist, AI",illumin,"Hybrid remote in Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=8946a6d05316022a,2023-11-17,Hybrid remote,ON,Toronto
95,f0442d2d84445286,Data Scientist (Research Institute),Centre universitaire de santé McGill,"Montréal, QC",n,,n,https://ca.indeed.com/viewjob?jk=f0442d2d84445286,2023-11-17,Not Specified,QC,Montréal
96,230e7beaafd4d59d,Machine Learning Intern,Recursion,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=230e7beaafd4d59d,2023-11-17,Not Specified,ON,Toronto
97,6c724c2c0e80208f,Intern - Data Analytics,Halton Region,"Hybrid remote in Halton, ON",n,,y,https://ca.indeed.com/viewjob?jk=6c724c2c0e80208f,2023-11-17,Hybrid remote,ON,Halton
98,9f8a9f26c90ce344,data analyst - informatics and systems,SYNCHRONIUM INNOVATIONS INC.,"North York, ON",n,,y,https://ca.indeed.com/viewjob?jk=9f8a9f26c90ce344,2023-11-17,Not Specified,ON,North York
99,ed57337ba8ee7dd4,DATA SCIENTIST,thinkCOMPASS,"Concord, ON",n,,n,https://ca.indeed.com/viewjob?jk=ed57337ba8ee7dd4,2023-11-17,Not Specified,ON,Concord
100,4a68433dc9595bd3,Data Scientist - Credit Risk Quantification,Desjardins,"Hybrid remote in Montréal, QC",n,,n,https://ca.indeed.com/viewjob?jk=4a68433dc9595bd3,2023-11-17,Hybrid remote,QC,Montréal
101,e534c9c92892c86b,"Data & Analytics - Director, Analytics, Product",Aritzia,"Vancouver, BC",n,,y,https://ca.indeed.com/viewjob?jk=e534c9c92892c86b,2023-11-17,Not Specified,BC,Vancouver
102,f14b28c070b24071,Sr. Computer Vision / ML Engineer,Potential Motors,"Hybrid remote in Fredericton, NB",n,,y,https://ca.indeed.com/viewjob?jk=f14b28c070b24071,2023-11-17,Hybrid remote,NB,Fredericton
103,2e1a4df6b2e228c5,Data Scientist & AI Engineer-Vancouver,Ekohe Limited,"Vancouver, BC",n,,n,https://ca.indeed.com/viewjob?jk=2e1a4df6b2e228c5,2023-11-17,Not Specified,BC,Vancouver
